label,lat,lng,demand
Depot,36.7213,-4.4214,0
Centro Histórico,36.7220,-4.4170,5
Malagueta Beach,36.7180,-4.4100,3
El Palo,36.7250,-4.3580,8
Pedregalejo,36.7200,-4.3650,4
Teatro Romano,36.7215,-4.4195,2
Alcazaba,36.7210,-4.4160,6
Puerto de Málaga,36.7145,-4.4200,10
Muelle Uno,36.7150,-4.4150,7
Soho District,36.7195,-4.4250,5
Parque de Málaga,36.7185,-4.4180,3
Plaza de la Merced,36.7240,-4.4185,4
Museo Picasso,36.7225,-4.4180,2
Catedral,36.7198,-4.4195,6
Mercado de Atarazanas,36.7182,-4.4240,8
La Térmica,36.7050,-4.4400,5
Huelin,36.7100,-4.4380,7
Ciudad Jardín,36.7280,-4.4300,4
El Ejido,36.7310,-4.4250,6
Carranque,36.7350,-4.4180,3
Cruz de Humilladero,36.7150,-4.4450,5
Campanillas,36.7450,-4.4750,8
Puerto Torre,36.7080,-4.4100,4
La Rosaleda,36.7320,-4.4020,6
Teatinos,36.7400,-4.4600,9
Universidad,36.7150,-4.4780,7
PTA,36.7380,-4.5100,10
Churriana,36.6750,-4.5000,5
Torremolinos,36.6200,-4.5000,8
Benalmádena,36.5900,-4.5200,6
